subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
0uk,233,L,true,144,2,0,1,1,1,
0uk,234,L,false,36,1,0,0,1,1,
0uk,235,L,true,408,2,1,1,0,1,
0uk,236,L,true,258,1,0,1,1,1,
0uk,237,L,true,572,1,0,0,1,0,
0uk,238,L,true,463,1,0,1,0,1,
0uk,239,L,true,200,1,1,0,1,0,
0uk,240,L,false,223,2,1,0,1,1,
0uk,241,L,true,49,2,0,1,1,1,
0uk,242,L,false,129,2,0,1,1,1,
0uk,243,L,true,480,2,0,0,0,1,
0uk,244,L,false,466,1,1,0,1,1,
0uk,245,L,false,32,2,1,0,1,1,
0uk,246,L,true,275,2,0,0,1,0,
0uk,247,L,true,394,2,0,1,1,0,
0uk,248,L,false,81,2,0,0,0,1,
0uk,249,L,false,94,1,1,1,1,1,
0uk,250,L,true,339,1,0,1,0,0,
0uk,251,L,false,20,2,1,1,1,1,
0uk,252,L,true,288,2,0,1,1,1,
0uk,253,L,true,374,2,1,1,1,0,
0uk,254,L,true,232,2,1,1,1,0,
0uk,255,L,true,287,2,1,1,1,1,
0uk,256,L,true,536,2,1,0,1,1,
0uk,257,L,true,191,1,1,0,1,1,
0uk,258,L,true,188,1,1,1,1,0,
0uk,259,L,false,542,2,0,0,0,1,
0uk,260,L,false,128,1,0,1,0,1,
0uk,261,L,false,293,1,1,1,1,0,
0uk,262,L,true,285,1,1,0,1,1,
0uk,263,L,true,79,1,1,1,1,1,
0uk,264,L,false,543,2,1,1,1,1,
0uk,265,L,true,345,2,1,0,1,1,
0uk,266,L,true,1113,1,1,1,1,0,
0uk,267,L,false,294,1,1,0,1,1,
0uk,268,L,true,204,1,0,1,0,1,
0uk,269,L,true,505,2,0,1,1,1,
0uk,270,L,true,374,2,0,1,0,0,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
0uk,271,L,false,4305,1,0,0,0,0,
0uk,272,L,true,69,1,0,1,1,1,
0uk,273,L,true,351,1,1,1,1,1,
0uk,274,L,false,43,2,0,0,0,1,
0uk,275,L,true,31,2,0,1,1,0,
0uk,276,L,true,354,1,0,0,1,1,
0uk,277,L,false,353,1,1,1,1,0,
0uk,278,L,false,458,2,1,1,1,1,
0uk,279,L,false,931,1,0,1,1,0,
0uk,280,L,false,515,2,0,1,1,1,
0uk,281,L,true,207,2,0,0,0,1,
0uk,282,L,true,257,2,0,1,1,1,
0uk,283,L,false,317,1,1,0,0,1,
0uk,284,L,true,176,1,1,1,1,1,
0uk,285,L,true,31,1,1,1,1,0,
0uk,286,L,false,81,2,1,0,1,1,
0uk,287,L,false,110,1,1,1,1,1,
0uk,288,L,true,361,1,0,1,0,1,
0uk,289,L,true,240,1,1,1,1,1,
0uk,290,L,false,375,2,0,0,0,0,
0uk,291,L,false,138,1,0,1,0,1,
0uk,292,L,false,355,2,1,0,0,0,
